# DM spin transfer-matrix table (row-major 3x3 M, s_final = M @ s_initial), source=spin_table_fccee.npz, build_date=2026-04-29T23:53:01.954128
20 20 20
1.0000000000e+01
1.1288378917e+01
1.2742749857e+01
1.4384498883e+01
1.6237767392e+01
1.8329807108e+01
2.0691380811e+01
2.3357214691e+01
2.6366508987e+01
2.9763514416e+01
3.3598182863e+01
3.7926901907e+01
4.2813323987e+01
4.8329302386e+01
5.4555947812e+01
6.1584821107e+01
6.9519279618e+01
7.8475997035e+01
8.8586679041e+01
1.0000000000e+02
5.0000000000e-02
5.8538995686e-02
6.8536280319e-02
8.0240900359e-02
9.3944434399e-02
1.0998825680e-01
1.2877204181e-01
1.5076372000e-01
1.7651113509e-01
2.0665569151e-01
2.4194833268e-01
2.8326824806e-01
3.3164477502e-01
3.8828304109e-01
4.5459398535e-01
5.3222950694e-01
6.2312361622e-01
7.2954061363e-01
8.5413149669e-01
1.0000000000e+00
0.0000000000e+00
1.0526315789e+00
2.1052631579e+00
3.1578947368e+00
4.2105263158e+00
5.2631578947e+00
6.3157894737e+00
7.3684210526e+00
8.4210526316e+00
9.4736842105e+00
1.0526315789e+01
1.1578947368e+01
1.2631578947e+01
1.3684210526e+01
1.4736842105e+01
1.5789473684e+01
1.6842105263e+01
1.7894736842e+01
1.8947368421e+01
2.0000000000e+01
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00
-6.7486260000e-04 0.0000000000e+00 -3.6729306869e-02 3.6032296194e-18 0.0000000000e+00 3.6032296194e-18 -1.8358453487e-02 0.0000000000e+00 -9.9915637903e-01
-2.6971730871e-03 0.0000000000e+00 -7.3371863643e-02 4.2559821001e-18 0.0000000000e+00 4.2559821001e-18 -3.6636357351e-02 0.0000000000e+00 -9.9662785041e-01
-6.0601065153e-03 0.0000000000e+00 -1.0984117532e-01 1.1643779442e-17 0.0000000000e+00 1.1643779442e-17 -5.4753414962e-02 0.0000000000e+00 -9.9242140992e-01
-1.0752311264e-02 0.0000000000e+00 -1.4605125629e-01 7.3670338985e-18 0.0000000000e+00 7.3670338985e-18 -7.2629834914e-02 0.0000000000e+00 -9.8654869389e-01
-1.6757943895e-02 0.0000000000e+00 -1.8191688314e-01 -4.6266856511e-17 0.0000000000e+00 -4.6266856511e-17 -9.0186581702e-02 0.0000000000e+00 -9.7902594420e-01
-2.4056717809e-02 0.0000000000e+00 -2.1735384510e-01 2.7281346928e-17 0.0000000000e+00 2.7281346928e-17 -1.0734562411e-01 0.0000000000e+00 -9.6987395951e-01
-3.2623965543e-02 0.0000000000e+00 -2.5227919144e-01 -2.8724562148e-17 0.0000000000e+00 -2.8724562148e-17 -1.2403018051e-01 0.0000000000e+00 -9.5911803276e-01
-4.2430714534e-02 0.0000000000e+00 -2.8661147509e-01 7.0911739035e-17 1.1102230246e-16 7.0911739035e-17 -1.4016496041e-01 0.0000000000e+00 -9.4678787523e-01
-5.3443776098e-02 0.0000000000e+00 -3.2027099166e-01 -2.4191949309e-17 0.0000000000e+00 -2.4191949309e-17 -1.5567640138e-01 0.0000000000e+00 -9.3291752730e-01
